AVAR;RUSSIAN;ENGLISH
божилъиялъул;ВЕРИТЕЛЬНЫЙ;
божизе;ВЕРИТЬ;
в ракI чIун божизе;ВЕРИТЬ;
ракI чIезе;ВЕРИТЬ;
вермишель;ВЕРМИШЕЛЬ;
верный и верно;ВЕРНЕЕ;
мухIканго абуни;ВЕРНЕЕ;
напиши заметку;ВЕРНЕЕ;
битIун буго;ВЕРНО;
битIараб букIин;ВЕРНОСТЬ;
битIи;ВЕРНОСТЬ;
бецIизе;ВЕРНУТЬ;
букIараб куцалъ гьабизе;ВЕРНУТЬ;
гъоркь букIахъе;ВЕРНУТЬ;
нахъбуссинабизе;ВЕРНУТЬ;
нахъвуссинавизе;ВЕРНУТЬ;
нахъе кьезе;ВЕРНУТЬ;
рукIалиде ккезабизе;ВЕРНУТЬ;
тIад буссинабизе;ВЕРНУТЬ;
тIад вуссинавизе;ВЕРНУТЬ;
букIараб бакIалде бачIине;ВЕРНУТЬСЯ;
букIахъелъугьине;ВЕРНУТЬСЯ;
нахъбуссине;ВЕРНУТЬСЯ;
нахъбуссун бачIине;ВЕРНУТЬСЯ;
тIадбуссине;ВЕРНУТЬСЯ;
битIараб;ВЕРНЫЙ;
божи бугеб;ВЕРНЫЙ;
кьучIаб;ВЕРНЫЙ;
мутIигIаб;ВЕРНЫЙ;
ракI чIараб;ВЕРНЫЙ;
рекIкI гьечIеб;ВЕРНЫЙ;
ритIухъаб;ВЕРНЫЙ;
хIакъаб;ВЕРНЫЙ;
щаклъи гьечIеб;ВЕРНЫЙ;
щулияб;ВЕРНЫЙ;
динияб божи;ВЕРОВАНИЕ;
Аллагьасда;ВЕРОВАТЬ;
божизе;ВЕРОВАТЬ;
диналда божизе;ВЕРОВАТЬ;
ракI чIезе;ВЕРОВАТЬ;
божударекIкIаб;ВЕРОЛОМНЫЙ;
ламартаб;ВЕРОЛОМНЫЙ;
мунапикъаб;ВЕРОЛОМНЫЙ;
хиянатаб;ВЕРОЛОМНЫЙ;
божударекIкI;ВЕРОЛОМСТВО;
ламартлъи;ВЕРОЛОМСТВО;
мунапикълъи;ВЕРОЛОМСТВО;
хияналъи;ВЕРОЛОМСТВО;
диналдаса инкар гьабурав чи;ВЕРООТСТУПНИК;
динрехун тарав чи;ВЕРООТСТУПНИК;
къосарав чи;ВЕРООТСТУПНИК;
диналдаса инкар гьаби;ВЕРООТСТУПНИЧЕСТВО;
динрехун тей;ВЕРООТСТУПНИЧЕСТВО;
къосин;ВЕРООТСТУПНИЧЕСТВО;
батила;ВЕРОЯТНО;
букIине бегьула;ВЕРОЯТНО;
ккола;ВЕРОЯТНО;
букIине бегьи;ВЕРОЯТНОСТЬ;
букIине бегьулеб;ВЕРОЯТНЫЙ;
версия;ВЕРСИЯ;
верст;ВЕРСТА;
верстак;ВЕРСТАК;
верстка гьабизе;ВЕРСТАТЬ;
верстка;ВЁРСТКА;
гьурмал ращад гьари;ВЁРСТКА;
набор;ВЁРСТКА;
цо кьералда лъей;ВЁРСТКА;
цIадуда гьан бежулеб хIара;ВЕРТЕЛ;
сверизабизе;ВЕРТЕТЬ;
терезабизе;ВЕРТЕТЬ;
тиризабизе;ВЕРТЕТЬ;
ххенезабизе;ВЕРТЕТЬ;
колес вертится бер ххенолеб буго;ВЕРТЕТЬСЯ;
кьуркьудизе;ВЕРТЕТЬСЯ;
сверизе;ВЕРТЕТЬСЯ;
сиди спокйно;ВЕРТЕТЬСЯ;
терезе;ВЕРТЕТЬСЯ;
тиризе;ВЕРТЕТЬСЯ;
ххенезе;ВЕРТЕТЬСЯ;
вертикаль;ВЕРТИКАЛЬ;
тIаса гIодобе унеб мухъ;ВЕРТИКАЛЬ;
вертикалияб;ВЕРТИКАЛЬНЫЙ;
тIаса гъоркьебитIараб;ВЕРТИКАЛЬНЫЙ;
ботIрониб гьури бахъарай гIадан;ВЕРТИХВОСТКА;
рохукъотIул бетIер;ВЕРТЛЮГ;
терхеро;ВЕРТЛЮГ;
рахIат хвараб;ВЕРТЛЯВЫЙ;
цо хIалалда чIолареб;ВЕРТЛЯВЫЙ;
свердиро;ВЕРТУШКА;
тIадагьай гIадан;ВЕРТУШКА;
техтеро;ВЕРТУШКА;
хIал кколарей гIадан;ВЕРТУШКА;
гIадаллъун унти;ВЕРТЯЧКА;
Аллагьасда божулев;ВЕРУЮЩИЙ;
динияв чи;ВЕРУЮЩИЙ;
тIалъи;ВЕРХ;
тIаралъи;ВЕРХ;
тIогь;ВЕРХ;
гIурулбетIералде гIагараб;ВЕРХНИЙ;
тIасан ретIунеб;ВЕРХНИЙ;
тIасияб;ВЕРХНИЙ;
тIасияб;ВЕРХНИЙ;
бетIераб;ВЕРХОВНЫЙ;
тIадегIанаб;ВЕРХОВНЫЙ;
бетIерлъи;ВЕРХОВОДИТЬ;
тIалъи гьабизе;ВЕРХОВОДИТЬ;
гIурул бетIералде гIагараб;ВЕРХОВОЙ;
рекIунеб;ВЕРХОВОЙ;
тIасан пулеб;ВЕРХОВОЙ;
чода рекIиналда хурхараб;ВЕРХОВОЙ;
гIурул бетIер;ВЕРХОВЬЕ;
тIаса-масаголъи;ВЕРХОГЛЯДСТВО;
тIаса-масагояббербалагьи;ВЕРХОГЛЯДСТВО;
тIасаб рахъ ккун;ВЕРХОМ;
тIасан;ВЕРХОМ;
бетIер;ВЕРХУШКА;
бутIрул;ВЕРХУШКА;
къватIисебрахъ;ВЕРХУШКА;
тIаса-масагояб;ВЕРХУШКА;
тIогь;ВЕРХУШКА;
бетIер;ВЕРШИНА;
борхалъи;ВЕРШИНА;
высшая степень борхалъи;ВЕРШИНА;
тIогь;ВЕРШИНА;
иш билълъинабизе;ВЕРШИТЬ;
тIубазабизе;ВЕРШИТЬ;
бакIлъи;ВЕС;
цIайи;ВЕС;
аваданлъизабизе;ВЕСЕЛИТЬ;
бохизабизе;ВЕСЕЛИТЬ;
ракI гъезабизе;ВЕСЕЛИТЬ;
аваданлъи гьабизе;ВЕСЕЛИТЬСЯ;
кеп гьабизе;ВЕСЕЛИТЬСЯ;
авадан;ВЕСЕЛО;
ихтилаталда;ВЕСЕЛО;
ихтилат-кепалда;ВЕСЕЛО;
кепалда;ВЕСЕЛО;
рохалида;ВЕСЕЛО;
аваданаб хIал;ВЕСЁЛОСТЬ;
рохел букIин;ВЕСЁЛОСТЬ;
аваданаб;ВЕСЁЛЫЙ;
бохараб;ВЕСЁЛЫЙ;
ихтилатаб;ВЕСЁЛЫЙ;
кепаб;ВЕСЁЛЫЙ;
ракI гъураб;ВЕСЁЛЫЙ;
аваданлъи;ВЕСЕЛЬЕ;
ихтилат;ВЕСЕЛЬЕ;
ихтилат-кеп;ВЕСЕЛЬЕ;
ракIгъей;ВЕСЕЛЬЕ;
рохел;ВЕСЕЛЬЕ;
аваданав чи;ВЕСЕЛЬЧАК;
ихдалил;ВЕСЕННИЙ;
бакIлъи букIине;ВЕСИТЬ;
цIавуда букIине;ВЕСИТЬ;
бакIаб;ВЕСКИЙ;
бакIлъи бугеб;ВЕСКИЙ;
гIер;ВЕСЛО;
грести вёслами раххнаца лъим ххазе;ВЕСЛО;
раххан;ВЕСЛО;
ихдал;ВЕСНОЙ;
тIипало;ВЕСНУШКИ ТIОНТIРО;
тIипало бараб;ВЕСНУШЧАТЫЙ;
тIонтIрохараб;ВЕСНУШЧАТЫЙ;
цIавул;ВЕСОВОЙ;
цIавулаб;ВЕСОВОЙ;
цIан кьолеб;ВЕСОВОЙ;
весовщик;ВЕСОВЩИК;
цIадирабичи;ВЕСОВЩИК;
весовщица;ВЕСОВЩИЦА;
цIадираби хIалтIизарулейгIадан;ВЕСОВЩИЦА;
гIураб;ВЕСОМЫЙ;
кIвар бугеб;ВЕСОМЫЙ;
цIайи бугеб;ВЕСОМЫЙ;
бакътIерхь;ВЕСТ;
бакътIерхьул гьури;ВЕСТ;
бакътIерхьул рахъ;ВЕСТ;
бачине;ВЕСТИ;
бачине;ВЕСТИ;
бачине;ВЕСТИ;
бачунеб букIана;ВЕСТИ;
гьабизе;ВЕСТИ;
дорога ведёт к реке нух гIурухъе унеббуго;ВЕСТИ;
квер ккун;ВЕСТИ;
мать вела ребёнка заруку эбелалъ лъимер;ВЕСТИ;
нухда тIамизе;ВЕСТИ;
нухлуца гIурухъе рачуна;ВЕСТИ;
рачине;ВЕСТИ;
вестибюль;ВЕСТИБЮЛЬ;
кIудияб жанахI;ВЕСТИБЮЛЬ;
цеберукъ;ВЕСТИБЮЛЬ;
бачун ине;ВЕСТИСЬ;
билълъанхъизабулеб буго;ВЕСТИСЬ;
билълъанхъизе;ВЕСТИСЬ;
гьабулеб букIине;ВЕСТИСЬ;
так издавна ведётся цебегоялдаса;ВЕСТИСЬ;
умумулъангогьедин гьабулеб буго;ВЕСТИСЬ;
нухтIал;ВЕСТНИК;
чапар;ВЕСТНИК;
ругьел босун ячIуней гIадан;ВЕСТНИЦА;
хабар;ВЕСТНИЦА;
чапар;ВЕСТНИЦА;
вестовой;ВЕСТОВОЙ;
сигналчи;ВЕСТОВОЙ;
хабар лъазабулев чи;ВЕСТОВОЙ;
цIадираби;ВЕСЫ;
всё все кинабго;ВЕСЬ;
все заодного;ВЕСЬ;
все киналго;ВЕСЬ;
всё щибго;ВЕСЬ;
кинабго;ВЕСЬ;
кинабго;ВЕСЬ;
мир во всём миретIолго дунялалдаго рекъел;ВЕСЬ;
один всех киналго цоясе гIоло;ВЕСЬ;
тIолго;ВЕСЬ;
тIубанго;ВЕСЬ;
тIубараб;ВЕСЬ;
тетрадал;ВЕСЬ;
тетради;ВЕСЬ;
учебникал кинабго гьана;ВЕСЬ;
цадахъго;ВЕСЬ;
цояв киназего гIоло;ВЕСЬ;
я уложил в портфель книги;ВЕСЬ;
цIакъ;ВЕСЬМА;
цIакъго цIакъ;ВЕСЬМА;
гIаркьа-кIичIараб;ВЕТВИСТЫЙ;
гIаркьалаби гIемераб;ВЕТВИСТЫЙ;
гIаркьахараб;ВЕТВИСТЫЙ;
гIаркьалаби риччазе;ВЕТВИТЬСЯ;
гIаркьахине;ВЕТВИТЬСЯ;
гIаркьел;ВЕТВЬ;
гIаркьел;ВЕТВЬ;
чIил;ВЕТВЬ;
гьури;ВЕТЕР;
боцIул тохтур;ВЕТЕРИНАР;
хIайвантохтир;ВЕТЕРИНАР;
ветеринарияб;ВЕТЕРИНАРНЫЙ;
ветеринариялъул;ВЕТЕРИНАРНЫЙ;
ветер загIипаб гьури;ВЕТЕРОК;
гIаркьел;ВЕТКА;
чIил;ВЕТКА;
рицIцIигъотIол цо тайпа;ВЕТЛА;
вето;ВЕТО;
гьукъи;ВЕТО;
нахъчIвай;ВЕТО;
магъакь-кIачар;ВЕТОШКА;
чIорто-къоно;ВЕТОШКА;
басрияб;ВЕТОШЬ;
магъакь-кIачар;ВЕТОШЬ;
хохорабретIел;ВЕТОШЬ;
чIорто-къоно;ВЕТОШЬ;
тIадагьав чи;ВЕТРЕНИК;
тIадагьай гIадан;ВЕТРЕНИЦА;
в гьури буго;ВЕТРЕНО;
пулеб буго;ВЕТРЕНО;
тIадагьго;ВЕТРЕНО;
гьорол;ВЕТРЕНЫЙ;
гьури бугеб;ВЕТРЕНЫЙ;
гьури пулеб;ВЕТРЕНЫЙ;
тIадагьав чи;ВЕТРЕНЫЙ;
гьорол;ВЕТРОВОЙ;
гьорол двигатель;ВЕТРОДВИГАТЕЛЬ;
гьороца хIалтIизабулеб двигатель;ВЕТРОДВИГАТЕЛЬ;
гьорол;ВЕТРЯНОЙ;
гьороца хIалтIизабулеб;ВЕТРЯНОЙ;
басрияб;ВЕТХИЙ;
замагадарлъарав;ВЕТХИЙ;
херав;ВЕТХИЙ;
хохораб;ВЕТХИЙ;
чIемегIаб;ВЕТХИЙ;
кьеккен гьабун бакъвазабураб бохалъул гьан;ВЕТЧИНА;
басралъизе;ВЕТШАТЬ;
херлъизе;ВЕТШАТЬ;
хохозе;ВЕТШАТЬ;
чIемегIлъизе;ВЕТШАТЬ;
къасимех;ВЕЧЕР;
маркIачIумех;ВЕЧЕР;
маркIачIумех щвезе;ВЕЧЕРЕТЬ;
рукIкIине;ВЕЧЕРЕТЬ;
вечеринка;ВЕЧЕРИНКА;
гIодорчIей;ВЕЧЕРИНКА;
цIадухъчIей;ВЕЧЕРИНКА;
къасимехалъул;ВЕЧЕРНИЙ;
маркIачIул;ВЕЧЕРНИЙ;
къаси;ВЕЧЕРОМ;
къасимехалъ;ВЕЧЕРОМ;
маркIачIуда;ВЕЧЕРОМ;
даио;ВЕЧНО;
кидаго;ВЕЧНО;
даим гIурччинаб;ВЕЧНОЗЕЛЁНЫЙ;
абадул-абад;ВЕЧНОСТЬ;
авал-ахир гьечIеб заман;ВЕЧНОСТЬ;
даимлъи;ВЕЧНОСТЬ;
гьоркьоса къотIулареб;ВЕЧНЫЙ;
даимаб;ВЕЧНЫЙ;
кидагосеб;ВЕЧНЫЙ;
лъугIи гьечIеб;ВЕЧНЫЙ;
чIей гьечIеб;ВЕЧНЫЙ;
вешалка;ВЕШАЛКА;
вешалка;ВЕШАЛКА;
кIичI;ВЕШАЛКА;
ретIел балеб жо;ВЕШАЛКА;
базе;ВЕШАТЬ;
гъанкъизе;ВЕШАТЬ;
дализабизе;ВЕШАТЬ;
цIазе;ВЕШАТЬ;
живго жинцаго гъанкъизе;ВЕШАТЬСЯ;
жиндирго бакIлъи лъазабизе;ВЕШАТЬСЯ;
жинцаго живгоцIазе;ВЕШАТЬСЯ;
бицин;ВЕЩАНИЕ;
гаргади;ВЕЩАНИЕ;
кIалъай;ВЕЩАНИЕ;
музыка кьей;ВЕЩАНИЕ;
ялдасан калам;ВЕЩАНИЕ;
бицине;ВЕЩАТЬ;
букIинесеб бицине;ВЕЩАТЬ;
гаргадизе;ВЕЩАТЬ;
кIалъазе;ВЕЩАТЬ;
кIудияб къагIидаялъ гаргадизе;ВЕЩАТЬ;
кьезе;ВЕЩАТЬ;
къайи лъолеб;ВЕЩЕВОЙ;
къайидул;ВЕЩЕВОЙ;
материалияб;ВЕЩЕСТВЕННЫЙ;
материалияб;ВЕЩЕСТВЕННЫЙ;
предметияб;ВЕЩЕСТВЕННЫЙ;
буголъиялда хадув лъугьин;ВЕЩИЗМ;
букIинесеб лъалев;ВЕЩИЙ;
вещи жал;ВЕЩЬ;
къайи;ВЕЩЬ;
предмет;ВЕЩЬ;
кIерело;ВЕЯЛКА;
кIерело-машина;ВЕЯЛКА;
гIаламат;ВЕЯНИЕ;
гьородахъ биччай;ВЕЯНИЕ;
гьуричIвай;ВЕЯНИЕ;
ккураб нух;ВЕЯНИЕ;
лал рехи;ВЕЯНИЕ;
чIвантIи;ВЕЯНИЕ;
веет весной ихдалил гIаламатал тIатунел руго;ВЕЯТЬ;
веет прохладой гьогьоми бачIунеб буго;ВЕЯТЬ;
ветер веет гьури пулеб буго;ВЕЯТЬ;
веют знамёна байрахъал парпадулелруго;ВЕЯТЬ;
гьородахъ биччазе;ВЕЯТЬ;
ихбачIунеб букIин бихьулеб буго;ВЕЯТЬ;
лал рехизе;ВЕЯТЬ;
парпадизе;ВЕЯТЬ;
пузе;ВЕЯТЬ;
чIвантIизе;ВЕЯТЬ;
ругьунлъизе;ВЖИТЬСЯ;
тIубан лъан;ВЖИТЬСЯ;
хIал рекъон;ВЖИТЬСЯ;
нахъехун;ВЗАД;
кIиязулго букIин;ВЗАИМНОСТЬ;
жидедаго гьоркьосеб;ВЗАИМНЫЙ;
кIиязулго цоцаде бугеб;ВЗАИМНЫЙ;
цоцазе гьабулеб;ВЗАИМНЫЙ;
кIиязего пайдаяб;ВЗАИМОВЫГОДНЫЙ;
бухьен;ВЗАИМОДЕЙСТВИЕ;
хурхен;ВЗАИМОДЕЙСТВИЕ;
цоцазе асаргьаби;ВЗАИМОДЕЙСТВИЕ;
цоцазе кумек гьаби;ВЗАИМОДЕЙСТВИЕ;
цоцалъ ру-хьин;ВЗАИМОДЕЙСТВИЕ;
цоцада гьоркьоб бухьен чIезабизе;ВЗАИМОДЕЙСТВОВАТЬ;
цоцазе асар гьабизе;ВЗАИМОДЕЙСТВОВАТЬ;
цоцазе кумекгьабизе;ВЗАИМОДЕЙСТВОВАТЬ;
цоцаца кквезе;ВЗАИМОДЕЙСТВОВАТЬ;
цоцада рараллъун рукIин;ВЗАИМОЗАВИСИМОСТЬ;
цоцадехун бугеб гьоркьоблъи;ВЗАИМООТНОШЕНИЕ;
цоцазе кумек гьаби;ВЗАИМОПОМОЩЬ;
рагIи дандеккей;ВЗАИМОПОНИМАНИЕ;
хIал рекъей;ВЗАИМОПОНИМАНИЕ;
цоцада ричIчIи;ВЗАИМОПОНИМАНИЕ;
хурхен;ВЗАИМОСВЯЗЬ;
цоцада гьоркьоб бухьен;ВЗАИМОСВЯЗЬ;
къарз гьабун;ВЗАЙМЫ;
къарзалъ;ВЗАЙМЫ;
налъи гьабун;ВЗАЙМЫ;
нахъ-буссинабизелъун;ВЗАЙМЫ;
нахъе кьезегIан;ВЗАЙМЫ;
тIад гьабун;ВЗАЙМЫ;
тIадбуссинабизелъун;ВЗАЙМЫ;
бакIалда;ВЗАМЕН;
хисун;ВЗАМЕН;
рахараб бакIалда;ВЗАПЕРТИ;
цере ккезелъун;ВЗАПУСКИ;
цоцаздаса бергьинелъун;ВЗАПУСКИ;
цоцалъ къец бан;ВЗАПУСКИ;
гIедегIун;ВЗАХЛЁБ;
гъанкъулаго;ВЗАХЛЁБ;
габур ккун;ВЗАШЕЙ;
хъачIго;ВЗАШЕЙ;
жигарлъизабизе;ВЗБАДРИВАТЬ;
лебаллъизабизе;ВЗБАДРИВАТЬ;
ракI батизабизе;ВЗБАДРИВАТЬ;
тирилъизабизе;ВЗБАДРИВАТЬ;
тирхизабизе;ВЗБАДРИВАТЬ;
лазат бахъизабизе;ВЗБАЛАМУТИТЬ;
рахIат хвезабизе;ВЗБАЛАМУТИТЬ;
рихха-хочизаризе;ВЗБАЛАМУТИТЬ;
хIабургъинабизе;ВЗБАЛАМУТИТЬ;
ахIмакъав;ВЗБАЛМОШНЫЙ;
камурав;ВЗБАЛМОШНЫЙ;
тIадагьав;ВЗБАЛМОШНЫЙ;
гъоркьа тIаде бекеризе;ВЗБЕЖАТЬ;
балканахинабизе;ВЗБЕСИТЬ;
тIури бачIинабизе;ВЗБЕСИТЬ;
ццидахинабизе;ВЗБЕСИТЬ;
балканахине;ВЗБЕСИТЬСЯ;
тIури бачIине;ВЗБЕСИТЬСЯ;
тIурулунти- ялъ унтизе;ВЗБЕСИТЬСЯ;
ццидахине;ВЗБЕСИТЬСЯ;
багъарун полоп базабизе;ВЗБИТЬ;
боргьинабизе;ВЗБИТЬ;
бухун понцозабизе;ВЗБИТЬ;
кIутI-кIутIун;ВЗБИТЬ;
тамахгьабизе;ВЗБИТЬ;
чвалхезабун;ВЗБИТЬ;
боргьине;ВЗБИТЬСЯ;
гьогьлъизе;ВЗБИТЬСЯ;
полоп базе;ВЗБИТЬСЯ;
полпид босун букIине;ВЗБИТЬСЯ;
полпихине;ВЗБИТЬСЯ;
чвалхезабун жуба-гъубазабизе;ВЗБОЛТАТЬ;
хIалица вахине;ВЗБРЕСТИ;
гIедегIахъдизабизе;ВЗБУДОРАЖИТЬ;
ракI хехлъизабизе;ВЗБУДОРАЖИТЬ;
рахIат хвезабизе;ВЗБУДОРАЖИТЬ;
рихха-хочи лъугьинабизе;ВЗБУДОРАЖИТЬ;
ургъелккезабизе;ВЗБУДОРАЖИТЬ;
хIалуцинабизе;ВЗБУДОРАЖИТЬ;
гIедегIахъдизе;ВЗБУДОРАЖИТЬСЯ;
ракI хехлъизе;ВЗБУДОРАЖИТЬСЯ;
рахIат хвезе;ВЗБУДОРАЖИТЬСЯ;
рихха-хочи лъугьине;ВЗБУДОРАЖИТЬСЯ;
ургъел ккезе;ВЗБУДОРАЖИТЬСЯ;
хIалуцине;ВЗБУДОРАЖИТЬСЯ;
бунт гьабизе;ВЗБУНТОВАТЬ;
дандечIей гьабизе;ВЗБУНТОВАТЬ;
бунт гьабизе;ВЗБУНТОВАТЬСЯ;
бунталъулъ гIахьаллъизе;ВЗБУНТОВАТЬСЯ;
гьорозе;ВЗБУХНУТЬ;
понцIозе;ВЗБУХНУТЬ;
цуризе;ВЗБУХНУТЬ;
хъачIаб бадибчIвай яги вухи;ВЗБУЧКА;
бугъизе;ВЗВАЛИТЬ;
лъиденигирехизе;ВЗВАЛИТЬ;
тIаде бегизабизе;ВЗВАЛИТЬ;
пикру гьабизе;ВЗВЕСИТЬ;
цIазе;ВЗВЕСИТЬ;
цIазе;ВЗВЕСИТЬСЯ;
бахинабизе;ВЗВЕСТИ;
борхизе;ВЗВЕСТИ;
бугьтан лъезе;ВЗВЕСТИ;
гIададисеб гIайиб чIвазе;ВЗВЕСТИ;
цIай;ВЗВЕШИВАНИЕ;
чIичIидун гьаракь гьабизе;ВЗВИЗГНУТЬ;
рахинаризе;ВЗВИНТИТЬ;
дугъдазе;ВЗВИНТИТЬСЯ;
рахине;ВЗВИНТИТЬСЯ;
хIалуцине;ВЗВИНТИТЬСЯ;
бахъинабун;ВЗВИТЬ;
сверизабизе;ВЗВИТЬ;
эхедеги босун;ВЗВИТЬ;
сверизе;ВЗВИТЬСЯ;
эхеде бахъун;ВЗВИТЬСЯ;
бахинаби;ВЗВОД;
борхи;ВЗВОД;
вихха-хочи;ВЗВОЛНОВАННОСТЬ;
рахIатхвей;ВЗВОЛНОВАННОСТЬ;
бихха-хочараб;ВЗВОЛНОВАННЫЙ;
рахIат хвараб;ВЗВОЛНОВАННЫЙ;
багъа-бачаризабизе;ВЗВОЛНОВАТЬ;
багъаризе;ВЗВОЛНОВАТЬСЯ;
вихха-хочизе;ВЗВОЛНОВАТЬСЯ;
виххахочун лъугьине;ВЗВОЛНОВАТЬСЯ;
карачалахине;ВЗВОЛНОВАТЬСЯ;
рахIат хвезе;ВЗВОЛНОВАТЬСЯ;
руруйбахъине;ВЗВЫТЬ;
угьи бахъине;ВЗВЫТЬ;
циндаго гIавусдизе;ВЗВЫТЬ;
балагьи;ВЗГЛЯД;
бербалагьи;ВЗГЛЯД;
берречIчIизабизе;ВЗГЛЯНУТЬ;
на балагьизе;ВЗГЛЯНУТЬ;
хIалица сунданиги тIаде бахинабизе;ВЗГРОМОЗДИТЬ;
на захIматго;ВЗГРОМОЗДИТЬСЯ;
хIалицасунданиги тIаде вахине;ВЗГРОМОЗДИТЬСЯ;
цодагьав пашманлъизе;ВЗГРУСТНУТЬ;
дагьабго ургъел чIвазе;ВЗГРУСТНУТЬСЯ;
кIиабизе бекьизе;ВЗДВОИТЬ;
кIибикьизе;ВЗДВОИТЬ;
кIикьер гьабун;ВЗДВОИТЬ;
чIезе;ВЗДВОИТЬ;
эхеде кIичIараб;ВЗДЁРНУТЫЙ;
гъанкъизе;ВЗДЁРНУТЬ;
кварида ван;ВЗДЁРНУТЬ;
туркIунтIаде борхизе;ВЗДЁРНУТЬ;
ахIмакъаб жо;ВЗДОР;
гьадингояб рагIи;ВЗДОР;
чIанда;ВЗДОР;
дагIбадизе;ВЗДОРИТЬ;
къацандизе;ВЗДОРИТЬ;
ахIмакъаб;ВЗДОРНЫЙ;
гIантаб;ВЗДОРНЫЙ;
гьагаб;ВЗДОРНЫЙ;
гьересияб;ВЗДОРНЫЙ;
дагIбадизе;ВЗДОРНЫЙ;
жо гуреб;ВЗДОРНЫЙ;
къацандизе;ВЗДОРНЫЙ;
къваригIел гьечIеб;ВЗДОРНЫЙ;
къваригIел гьечIел жал рицине бокьулев;ВЗДОРНЫЙ;
хьандезе;ВЗДОРНЫЙ;
багьа цIикIкIин;ВЗДОРОЖАНИЕ;
хиралъи;ВЗДОРОЖАНИЕ;
багьа цIикIкIине;ВЗДОРОЖАТЬ;
багьалъизе;ВЗДОРОЖАТЬ;
хиралъизе;ВЗДОРОЖАТЬ;
хIухьел цIай ва къватIибе биччай;ВЗДОХ;
хIухьел цIазе ва къватIибе биччазе;ВЗДОХНУТЬ;
гъапуллъизе;ВЗДРЕМНУТЬ;
кьижизе;ВЗДРЕМНУТЬ;
свадизе;ВЗДРЕМНУТЬ;
тIуркIизе;ВЗДРОГНУТЬ;
бокьизе;ВЗДУМАТЬ;
къасд гьабизе;ВЗДУМАТЬ;
ракIалде ккезе;ВЗДУМАТЬ;
бачIине;ВЗДУМАТЬСЯ;
ботIролъе бачIине;ВЗДУМАТЬСЯ;
ракIалде ккезе;ВЗДУМАТЬСЯ;
циндаго пикру ккезе;ВЗДУМАТЬСЯ;
гьитIинаб гьор;ВЗДУТИЕ;
гьорой;ВЗДУТИЕ;
цIикIкIин;ВЗДУТИЕ;
эхеде бахин;ВЗДУТИЕ;
боргьараб;ВЗДУТЫЙ;
гьорораб;ВЗДУТЫЙ;
гьорораб;ВЗДУТЫЙ;
понцIораб;ВЗДУТЫЙ;
цIикIкIинабураб;ВЗДУТЫЙ;
цIутIараб;ВЗДУТЫЙ;
эхеде борхизабураб;ВЗДУТЫЙ;
вакине;ВЗДУТЬ;
кутакалда вухизе;ВЗДУТЬ;
пун эхеде бахъинабизе;ВЗДУТЬ;
хIур кIутIизе;ВЗДУТЬ;
понцIозе;ВЗДУТЬСЯ;
понцIон бачIине;ВЗДУТЬСЯ;
квачIид бахъинабизе;ВЗДЫБИТЬ;
квачIид бахъине;ВЗДЫБИТЬСЯ;
эхеде бахъинабизе;ВЗДЫМАТЬ;
эхеде бахъине;ВЗДЫМАТЬСЯ;
оком-чем инагьдизе;ВЗДЫХАТЬ;
по ком-чем;ВЗДЫХАТЬ;
угьдизе;ВЗДЫХАТЬ;
хIухьел цIазе;ВЗДЫХАТЬ;
бахъи;ВЗИМАНИЕ;
боси;ВЗИМАНИЕ;
бахъизе;ВЗИМАТЬ;
босизе;ВЗИМАТЬ;
балагьизе;ВЗИРАТЬ;
цебетIей;ВЗЛЁТ;
эхеде бахин;ВЗЛЁТ;
эхеде боржин;ВЗЛЁТ;
эхеде боржине;ВЗЛЕТЕТЬ;
бахъунеб;ВЗЛЁТНЫЙ;
эхеде боржунеб;ВЗЛЁТНЫЙ;
беки;ВЗЛОМ;
бекун хвезаби;ВЗЛОМ;
гъури;ВЗЛОМ;
бекизабизе;ВЗЛОМАТЬ;
бекизе;ВЗЛОМАТЬ;
бекун рахараб бакI рагьизе;ВЗЛОМАТЬ;
гъуризабизе;ВЗЛОМАТЬ;
гъуризе;ВЗЛОМАТЬ;
тIетIезабизе;ВЗЛОМАТЬ;
щущазабизе;ВЗЛОМАТЬ;
нуцIа-къоноги гъурун;ВЗЛОМЩИК;
цIогьодулев чи;ВЗЛОМЩИК;
гъал-гъализабизе;ВЗЛОХМАТИТЬ;
гьурщ-гьурщизабизе;ВЗЛОХМАТИТЬ;
гъал-гъализабураб;ВЗЛОХМАЧЕННЫЙ;
гьурщгьурщизабураб;ВЗЛОХМАЧЕННЫЙ;
хьвагIи;ВЗМАХ;
хьвагIизе;ВЗМАХНУТЬ;
эхеде рехизе;ВЗМЕТАТЬ;
эхеде рехун ба-чIине;ВЗМЕТНУТЬСЯ;
биччизе;ВЗМОКНУТЬ;
гIетIуца бацизе;ВЗМОКНУТЬ;
кутакалда гIетI базе;ВЗМОКНУТЬ;
гьардезе;ВЗМОЛИТЬСЯ;
гьаризе;ВЗМОЛИТЬСЯ;
ралъдал рагIал;ВЗМОРЬЕ;
ралъдал ракъдаде къараб бутIа;ВЗМОРЬЕ;
гIетIулъ тIерхьараб;ВЗМЫЛЕННЫЙ;
полпид босараб;ВЗМЫЛЕННЫЙ;
гIетIулъ тIерхьинабизе;ВЗМЫЛИТЬ;
полоп базабизе;ВЗМЫЛИТЬ;
полпихинабизе;ВЗМЫЛИТЬ;
