avar_word,russian_translations,english_translations,examples
астрология,АСТРОЛОГИЯ,,
астронавт,АСТРОНАВТ,,
астронавтика,АСТРОНАВТИКА,,
астроном,АСТРОНОМ,,
астрономия,АСТРОНОМИЯ,,
астрономиялъулаб,АСТРОНОМИЧЕСКИЙ,,
астрофизик,АСТРОФИЗИК,,
астрофизика,АСТРОФИЗИКА,,
астрофизикияб,АСТРОФИЗИЧЕСКИЙ,,
асфальт,АСФАЛЬТ,,
асфальт тIезе,АСФАЛЬТИРОВАТЬ,,
асфальт тIей,АСФАЛЬТИРОВАНИЕ,,
асфальталъул,АСФАЛЬТОВЫЙ,,
асфальталъулаб,АСФАЛЬТОВЫЙ,,
атавизм,АТАВИЗМ,,
атавизмалъулаб,АТАВИСТИЧЕСКИЙ,,
атаман  хъачагъазул бетIер,АТАМАН,,
атеизм,АТЕИЗМ,,
атеизмалъулаб,АТЕИСТИЧЕСКИЙ,,
атеист,АТЕИСТ,,
атеистияб,АТЕИСТИЧЕСКИЙ,,
ателье,АТЕЛЬЕ,,
атлас,АТЛАС,,
атлет,АТЛЕТ,,
атлетасулаб,АТЛЕТИЧЕСКИЙ,,
атлетика,АТЛЕТИКА,,
атлетикияб,АТЛЕТИЧЕСКИЙ,,
атмосфера гьава  атмосфера,АТМОСФЕРА,,
атмосфераялъул,АТМОСФЕРНЫЙ,,
атолл,АТОЛЛ,,
атом,АТОМ,,
атомалъул,АТОМНЫЙ,,
атомалъулаб,АТОМНЫЙ,,
атомияб,АТОМНЫЙ,,
атомник,АТОМНИК,,
атомоход,АТОМОХОД,,
атомчи,АТОМЩИК,,
атомчи,АТОМНИК,,
атомщик,АТОМЩИК,,
атрибут,АТРИБУТ,,
атрибутияб,АТРИБУТИВНЫЙ,,
атрофия,АТРОФИЯ,,
атташе,АТТАШЕ,,
аттестат,АТТЕСТАТ,,
аттестация,АТТЕСТАЦИЯ,,
аттестация гьабизе,АТТЕСТОВАТЬ,,
аттестациялъулаб,АТТЕСТАЦИОННЫЙ,,
аттракцион,АТТРАКЦИОН,,
аудитория,АУДИТОРИЯ,,
аукцион,АУКЦИОН,,
аукционияб,АУКЦИОННЫЙ,,
афганав,АФГАНЕЦ,,
афганазул,АФГАНСКИЙ,,
афганазулаб,АФГАНСКИЙ,,
афганай,АФГАНКА,,
афганал,АФГАНЦЫ,,
афиша,АФИША,,
афоризм,АФОРИЗМ,,
африканав,АФРИКАНЕЦ,,
африканай,АФРИКАНКА,,
африканал,АФРИКАНЦЫ,,
африкаялъулаб,АФРИКАНСКИЙ,,
аффикс,АФФИКС,,
ахбазан,АБРИКОС,,
ахбазаналъул,АБРИКОСНЫЙ,,
ахIи базе,АУКАТЬ,,
ахIмакъ,БАЛДА,,
аххакь,БАРДА,,
ацетилен,АЦЕТИЛЕН,,
ацетиленалъул,АЦЕТИЛЕНОВЫЙ,,
ацетон,АЦЕТОН,,
ацетоналъул,АЦЕТОНОВЫЙ,,
ашуг,АШУГ,,
аэровокзал,АЭРОВОКЗАЛ,,
аэродинамика,АЭРОДИНАМИКА,,
аэродинамикияб,АЭРОДИНАМИЧЕСКИЙ,,
аэродром,АЭРОДРОМ,,
аэродромалъул,АЭРОДРОМНЫЙ,,
аэродромалъулаб,АЭРОДРОМНЫЙ,,
аэроклуб,АЭРОКЛУБ,,
аэрология,АЭРОЛОГИЯ,,
аэрологияб,АЭРОЛОГИЧЕСКИЙ,,
аэронавигация,АЭРОНАВИГАЦИЯ,,
аэронавт,АЭРОНАВТ,,
аэронавтика,АЭРОНАВТИКА,,
аэроплан,АЭРОПЛАН,,
аэропорт,АЭРОПОРТ,,
аэропорт,АЭРО-,,
аэросани,АЭРОСАНИ,,
аэростат,АЭРОСТАТ,,
аэросъемка,АЭРОСЪЁМКА,,
аэрочанагъал,АЭРОСАНИ,,
баббит,БАББИТ,,
баббиталъул,БАББИТОВЫЙ,,
баббиталъулаб,БАББИТОВЫЙ,,
багаж,БАГАЖ,,
багажалъул,БАГАЖНЫЙ,,
багажник,БАГАЖНИК,,
багет,БАГЕТ,,
багIараб,БАГРОВЫЙ,,
багIарлъизе,БАГРОВЕТЬ,,
багульник,БАГУЛЬНИК,,
багьадур,БАТЫР,,
бадиржан,БАКЛАЖАН,,
бадиржаналъул,БАКЛАЖАННЫЙ,,
бадминтон,БАДМИНТОН,,
база,БАЗИС,,
базальт,БАЗАЛЬТ,,
базальталъул,БАЗАЛЬТОВЫЙ,,
базар,БАЗАР,,
базаралъул,БАЗАРНЫЙ,,
базис,БАЗИС,,
бай,БАЙ,,
байдарка,БАЙДАРКА,,
байка,БАЙКА,,
бак,БАК,,
бак рахъ,БАК,,
бакен,БАКЕН,,
бакеназул хал гьабулев чи,БАКЕНЩИК,,
бакенбардал,БАКЕНБАРДЫ,,
баклажан,БАКЛАЖАН,,
баклажаналъул,БАКЛАЖАННЫЙ,,
бактериолог,БАКТЕРИОЛОГ,,
бактериология,БАКТЕРИОЛОГИЯ,,
бактериологиялъулаб,БАКТЕРИОЛОГИЧЕСКИЙ,,
бактерицид,БАКТЕРИЦИД,,
бактерия,БАКТЕРИЯ,,
бактерия хвезабулеб,БАКТЕРИЦИДНЫЙ,,
бактерия чIвалеб,БАКТЕРИЦИДНЫЙ,,
бактериялъулаб,БАКТЕРИАЛЬНЫЙ,,
бакIари,АККУМУЛЯЦИЯ,,
бакIаризе,АККУМУЛИРОВАТЬ,,
бакьуч,БАРСУК,,
бакьучил,БАРСУЧИЙ,,
бакъал бичулеб,БАКАЛЕЙНЫЙ,,
бакъалалъул,БАКАЛЕЙНЫЙ,,
бакъалалъул къайи,БАКАЛЕЯ,,
бакъвазе,АТРОФИРОВАТЬСЯ,,
бакъвай,АТРОФИЯ,,
бакъван ине,АТРОФИРОВАТЬСЯ,,
бакъвараб,АТРОФИРОВАННЫЙ,,
бал,БАЛ,,
балаган,БАЛАГАН,,
балалайка  гIемер гаргадулев чи,БАЛАЛАЙКА,,
балалайкачи,БАЛАЛАЕЧНИК,,
балалъулаб,БАЛЬНЫЙ,,
баланс,БАЛАНС,,
балансалъулаб,БАЛАНСОВЫЙ,,
балерина,БАЛЕРИНА,,
балет,БАЛЕТ,,
балеталъул,БАЛЕТНЫЙ,,
балеталъулаб,БАЛЕТНЫЙ,,
балетмейстер,БАЛЕТМЕСТЕР,,
балики,АВОСЬ,,
балкарав,БАЛКАРЕЦ,,
балкаразул,БАЛКАРСКИЙ,,
балкарай,БАЛКАРКА,,
балкарал,БАЛКАРЦЫ,,
балкон,БАЛКОН,,
балконалъул,БАЛКОННЫЙ,,
балконалъулаб,БАЛКОННЫЙ,,
балл,БАЛЛ,,
баллада,БАЛЛАДА,,
балласт,БАЛЛАСТ,,
баллистика,БАЛЛИСТИКА,,
баллон,БАЛЛОН,,
балык,БАЛЫК,,
бальзам,БАЛЬЗАМ,,
бальнеолог,БАЛЬНЕОЛОГ,,
бальнеология,БАЛЬНЕОЛОГИЯ,,
бальнеологиялъулаб,БАЛЬНЕОЛОГИЧЕСКИЙ,,
балюстрада,БАЛЮСТРАДА,,
балъ,АДАТ,,
бамбук,БАМБУК,,
бамбукалъул гьабураб,БАМБУКОВЫЙ,,
бамбукалъулаб,БАМБУКОВЫЙ,,
бампер,БАМПЕР,,
бана,БАЦ,,
банан,БАНАН,,
бананалъул,БАНАНОВЫЙ,,
бананалъулаб,БАНАНОВЫЙ,,
банда,БАНДА,,
бандаж,БАНДАЖ,,
бандазулаб,БАНДИТСКИЙ,,
бандал,БАНДА,,
бандаялъул гIахьалъи,БАНДИТ,,
бандероль,БАНДЕРОЛЬ,,
бандит,БАНДИТ,,
бандит,БАСМАЧ,,
бандитлъи,БАНДИТИЗМ,,
бандура,БАНДУРА,,
бандурачи,БАНДУРИСТ,,
бандурист,БАНДУРИСТ,,
банк,БАНК,,
банка,БАНКА,,
банка,БАНКА,,
банка,БАНКА,,
банкалъул,БАНКОВСКИЙ,,
банкалъул,БАНКОВЫЙ,,
банкалъулаб,БАНКОВЫЙ,,
банкалъулаб,БАНКОВСКИЙ,,
банкет,БАНКЕТ,,
банкир,БАНКИР,,
банкиразулаб,БАНКИРСКИЙ,,
банкнот,БАНКНОТ,,
банкрот,БАНКРОТ,,
банкротлъи,БАНКРОТСТВО,,
бант,БАНТ,,
баня,БАНЯ,,
бар,БАР,,
бар,БАР,,
барак,БАРАК,,
барельеф,БАРЕЛЬЕФ,,
барельефалъулаб,БАРЕЛЬЕФНЫЙ,,
барельефияб,БАРЕЛЬЕФНЫЙ,,
баржа,БАРЖА,,
барий,БАРИЙ,,
барин  чIегIер хIалтIуда квер хъваларев чи,БАРИН,,
баринасул,БАРСКИЙ,,
баринасулаб,БАРСКИЙ,,
баринлъи,БАРСТВО,,
баритон,БАРИТОН,,
баркас,БАРКАС,,
барокко,БАРОККО,,
барометр,БАРОМЕТР,,
барометралъул,БАРОМЕТРИЧЕСКИЙ,,
барон,БАРОН,,
баронесса,БАРОНЕССА,,
баррикада,БАРРИКАДА,,
баррикадаялъулаб,БАРРИКАДНЫЙ,,
барщина,БАРЩИНА,,
барщинаялъулаб,БАРЩИННЫЙ,,
барыня  барыня,БАРЫНЯ,,
барышня  гIолохъанай яс,БАРЫШНЯ,,
барьер  квалквал,БАРЬЕР,,
бас,БАС,,
баскетбол,БАСКЕТБОЛ,,
баскетболалъул,БАСКЕТБОЛЬНЫЙ,,
баскетболист,БАСКЕТБОЛИСТ,,
баскетболистка,БАСКЕТБОЛИСТКА,,
басмач,БАСМАЧ,,
басня  ургъун бахъараб хабар,БАСНЯ,,
баснябазул автор,БАСНОПИСЕЦ,,
басняби хъвалев чи,БАСНОПИСЕЦ,,
басралъараб,АРХАИЧЕСКИЙ,,
басралъараб,АРХАИЧНЫЙ,,
басралъараб ретIел-хьит,БАРАХЛО,,
бастион,БАСТИОН,,
баталист,БАТАЛИСТ,,
батальон,БАТАЛЬОН,,
батальоналъул,БАТАЛЬОННЫЙ,,
батарея  батарея,БАТАРЕЯ,,
батареялъул,БАТАРЕЙНЫЙ,,
батискаф,БАТИСКАФ,,
батист,БАТИСТ,,
батисталъул,БАТИСТОВЫЙ,,
батисфера,БАТИСФЕРА,,
батон,БАТОН,,
батрак,БАТРАК,,
батраказул,БАТРАЦКИЙ,,
батраказулаб,БАТРАЦКИЙ,,
батракай,БАТРАЧКА,,
батраклъи,БАТРАЧЕСТВО,,
батраклъи гьабизе,БАТРАЧИТЬ,,
батрачка,БАТРАЧКА,,
баттерфляй,БАТТЕРФЛЯЙ,,
батIаго тIадчIей гьабизе,АКЦЕНТИРОВАТЬ,,
батIалъи гьечIолъи,АПАТИЯ,,
батут,БАТУТ,,
баул,БАУЛ,,
бахнуть,БАХАТЬ,,
бахча,БАХЧА,,
бахчачи,БАХЧЕВОД,,
бахчачилъи,БАХЧЕВОДСТВО,,
бацилла,БАЦИЛЛА,,
бациллаби ругеб хIайван,БАЦИЛЛОНОСИТЕЛЬ,,
бацIцIадаб,АККУРАТНЫЙ,,
башкирав,БАШКИР,,
башкиразул,БАШКИРСКИЙ,,
башкирай,БАШКИРКА,,
башкирал,БАШКИРЫ,,
башлихъ,БАШЛЫК,,
башмакъ  -д. башмакъ,БАШМАК,,
баянаб гуреб куцалъ сундулниги пикру гьабизе,АБСТРАГИРОВАТЬ,,
баянаб гуреб куцалъ сундулниги пикру гьабиялде машгъуллъизе,АБСТРАГИИРОВАТСЯ,,
бер бахилаб,АЛЧНЫЙ,,
бер бахиллъи,АЛЧНОСТЬ,,
бер гIорцIулареб,АЛЧНЫЙ,,
бер гIорцIунгутIи,АЛЧНОСТЬ,,
бербалагьи,АСПЕКТ,,
берцинаб,АККУРАТНЫЙ,,
берцинлъи,АККУРАТНОСТЬ,,
берцинмахI,АРОМАТ,,
бетIер,БАШКА,,
бетIер,АДМИНИСТРАТОР,,
бетIер бугев,БАШКОВИТЫЙ,,
бецци,АПОФЕОЗ,,
би дагьаб,АНЕМИЧНЫЙ,,
би дагьлъи,АНЕМИЯ,,
бигъараб мучари  анис,АНИС,,
бика,БАРЫНЯ,,
билбагIараб,АЛЫЙ,,
билбагIараб,БАГРЯНЫЙ,,
билбагIараб,БАГРОВЫЙ,,
билбагIараб кьер,БАГРЯНЕЦ,,
билбагIарлъизе,АЛЕТЬ,,
билбагIарлъизе,БАГРОВЕТЬ,,
био антиген,АНТИГЕН,,
био антитела,АНТИТЕЛА,,
биххизе,АНАЛИЗИРОВАТЬ,,
бичи,АУКЦИОН,,
бичIчIи бугев,БАШКОВИТЫЙ,,
бичIчIигьечI,БАЛБЕС,,
бичулеб,АУКЦИОННЫЙ,,
бичулеб,АУКЦИОННЫЙ,,
бищунго загIипаб бакI,АХИЛЛЕСОВ,,
божилареб гIадаб,БАСНОСЛОВНЫЙ,,
божилъи,АВТОРИТЕТ,,
бокьухъе виччан тарав,БАЛОВЕНЬ,,
борж,БАШНЯ,,
борхалъи,АПОГЕЙ,,
бошлъи,БАНАЛЬНОСТЬ,,
бурдабазул хьури,БАЛЮСТРАДА,,
бурди ккураб хьури,БАЛЮСТРАДА,,
вабабай,АХ,,
вакил гьавизе,АККРЕДИТОВАТЬ,,
валалай,АХ,,
ватIан бокьиялда данде чIараб,АНТИПАТРИОТИЧЕСКИЙ,,
вахI,АХ,,
вахI бачине  агь,АХАТЬ,,
вегухъе хьвагIезе,БАРАХТАТЬСЯ,,
веццарухъан,БАХВАЛ,,
воржарухъан,АЭРОНАВТ,,
вортичIого къаркъала битIун кквезе,БАЛАНСИРОВАТЬ,,
газ тайпаялъул жалазул тIадецуялъул роцен  ахIвал-хIал: в ~е дружбы гьудуллъиялъул ахIвал-хIалалда,АТМОСФЕРА,,
гамил тIолабго команда хехаб хIалтIи гьабизе данде ахIи,АВРАЛ,,
гвай бан,АВРАЛЬНЫЙ,,
гогьав,БАЛОВНИК,,
гогьай,БАЛОВНИЦА,,
гогьдаризави  гогьдари,БАЛОВСТВО,,
гогьдаризавурав,БАЛОВЕНЬ,,
гогьдаризавурав,БАЛОВАННЫЙ,,
гогьдаризе,БАЛОВАТЬСЯ,,
гогьдарулев чи,БАЛОВНИК,,
гогьдарулей яс,БАЛОВНИЦА,,
гогьма,БАЛОВНИК,,
гогьма,БАЛОВНИЦА,,
гомоглъи,БАЛКА,,
гIабурикI,АБРЕК,,
гIадаб,АНЕКДОТИЧЕСКИЙ,,
гIадат,АДАТ,,
гIакълу бугев,БАШКОВИТЫЙ,,
гIакълугьечI,БАЛДА,,
гIалу,БАБКА,,
гIамал гьабулареблъун рикIкIине,АННУЛИРОВАТЬ,,
гIамал-тIабигIат,АРИСТОКРАТИЗМ,,
гIамалал данде кколарел чагIи,АНТИПОДЫ,,
гIамбар,АМБРА,,
гIандадерил,АНДИЙСКИЙ,,
гIандал,АНДИЙЦЫ,,
гIандисев,АНДИЕЦ,,
гIандисей,АНДИЙКА,,
гIантав чи,БАЛДА,,
гIантIикIачи,АНТИКВАР,,
гIараб,АРАБСКИЙ,,
гIарабалъул,АРАБСКИЙ,,
гIарабист,АРАБИСТ,,
гIарабистика,АРАБИСТИКА,,
гIарабияв,АРАБ,,
гIарабиязул,АРАБСКИЙ,,
гIарабияй,АРАБКА,,
гIарабиял,АРАБЫ,,
гIарада бай,АРТОБСТРЕЛ,,
гIарадаби кьвагьи,АРТОБСТРЕЛ,,
гIарадачи,АРТИЛЛЕРИСТ,,
гIарац биччазе,АССИГНОВАТЬ,,
гIарац биччай  биччараб гIарац,АССИГНОВАНИЕ,,
гIарац яги къайи-матахI битIи ритIухъ гьабураб кагъат,АВИЗО,,
гIаршун,АРШИН,,
гIаршун халалъи бугеб,АРШИННЫЙ,,
гIаршуналъул,АРШИННЫЙ,,
гIатIидаб,БАЛАХОН,,
гIатIлас,АТЛАС,,
гIатIласалъул,АТЛАСНЫЙ,,
гIахьалаб,АРТЕЛЬНЫЙ,,
гIела,БАСТА,,
гIелмуялда данде чIараб,АНТИНАУЧНЫЙ,,
гIер  балансир,БАЛАНСИР,,
гIисинпихъ,АЛЫЧА,,
гIисинпихъалъул,АЛЫЧОВЫЙ,,
гIиял,БАРАНИЙ,,
гIиял гьан,БАРАНИНА,,
гIужда,АККУРАТНО,,
гIужда гьабулеб,АККУРАТНЫЙ,,
гIурусазул некIсияб 3 капекалъул монета,АЛТЫН,,
гъалмагъал,БАТАЛИЯ,,
гъанцIа,БАГОР,,
гъачагъ,БАСМАЧ,,
гъира гьечIолъи,АПАТИЯ,,
гъира ккезабулеб,АППЕТИТНЫЙ,,
гъира-шавкъ,АЗАРТ,,
гъира-шавкъалда,АЗАРТНО,,
гьабсагIат къваригIараблъун,АКТУАЛЬНОСТЬ,,
гьава-бакъалда,АККЛИМАТИЗИРОВАТЬ,,
гьава-бакъалда,АККЛИМАТИЗИРОВАТЬСЯ,,
гьайикал,АМУЛЕТ,,
гьаркьие лъезе,БАЛЛОТИРОВАТЬ,,
гьаркьие лъей,БАЛЛОТИРОВКА,,
гьаркьие лъуравлъун вукIине,БАЛЛОТИРОВАТЬСЯ,,
гьединабго,АНАЛОГИЧНЫЙ,,
гьединго аллагьасул инсанасулго гIадаб сипат-сурат гьаби,АНТРОПОМОРФИЗМ,,
гьезул системабазулъ лъугьунел физикиял хиса-басиязул,АСТРОФИЗИКА,,
гьей,АУ,,
гьей абун ахIдезе,АУКАТЬ,,
гьекъолел жал ричулеб бакIалъул бетIергьан,БАРМЕН,,
гьелъие гьунар бугев чи,АРТИСТ,,
гьесизавизе,АГИТИРОВАТЬ,,
гьецIокъ,БАБА,,
гьецIокъ,БАЛДА,,
гьодорлъи,БАНАЛЬНОСТЬ,,
гьоко,АРБА,,
гьоркьоблъи бигъинабулев чи,БАЛАМУТ,,
гьудуллъиялда,АТМОСФЕРА,,
гьужум,АТАКА,,
гьужум гьабизе,АТАКОВАТЬ,,
гьуинмахI,АМБРА,,
гьуинмахI,АРОМАТ,,
гьуинмахIаб,АРОМАТИЧЕСКИЙ,,
гьунаргьечI,БАЛБЕС,,
дагьавги хIаракатавлъун лъугьине,АКТИВИЗИРОВАТЬСЯ,,
далил  аргумент,АРГУМЕНТ,,
далил бачин,АРГУМЕНТАЦИЯ,,
далил бачун бихьизабизе,АРГУМЕНТИРОВАТЬ,,
данд рекъон кколеб,АДЕКВАТНЫЙ,,
дандбараб,АРТЕЛЬНЫЙ,,
данде битIун кколеб,АНАЛОГИЧНЫЙ,,
данде чIезе  разилъунгутIизе,АРТАЧИТЬСЯ,,
дараби гьарун,БАЛЬЗАМИРОВАТЬ,,
даран гьабулеб идараялъ гIарац хIалтIизабиялда хадуб хал кквей,АУДИТ,,
дахIабаба,БАБУШКА,,
дванк  дванкана,БАЦ,,
дваргъ,БАХ,,
демократиялда данде чIараб,АНТИДЕМОКРАТИЧЕСКИЙ,,
диналда данде чIараб,АНТИРЕЛИГИОЗНЫЙ,,
дурусаб,АККУРАТНЫЙ,,
дуруслъи,АККУРАТНОСТЬ,,
жагъаллъизе,БАРАХЛИТЬ,,
жазаирав,АЛЖИРЕЦ,,
жайран,АНТИЛОПА,,
жанив тIами,АРЕСТ,,
жанив тIамизе,АРЕСТОВАТЬ,,
жанив тIамурав,АРЕСТОВАННЫЙ,,
жаний тIамурай гIадан,АРЕСТАНТКА,,
жанире раккизе,АНАТОМИРОВАТЬ,,
жибго жиндаго чIараб,АВТОНОМНЫЙ,,
жибго жиндасанго хIалтIизабизе,АВТОМАТИЗИРОВАТЬ,,
жибго жиндасанго хIалтIулеблъун гьаби,АВТОМАТИЗАЦИЯ,,
жив вищулевлъун вукIине,БАЛЛОТИРОВАТЬСЯ,,
живго ун яги кагъат хъван,АДРЕСОВАТЬСЯ,,
жигар бахъун,АКТИВНО,,
жигараб,АКТИВНЫЙ,,
жигаралда,АКТИВНО,,
жигарлъи,АКТИВНОСТЬ,,
жигарчилъи,АКТИВНОСТЬ,,
жиндаго релълъинаби  ассимиляция,АССИМИЛЯЦИЯ,,
жиндаго релълъинабизе,АССИМИЛИРОВАТЬ,,
жинде кагъат,АДРЕСАТ,,
жиндир заманалда,АККУРАТНО,,
жугьутIалрих,АНТИСЕМИТ,,
жужа-кукараб,АЛЯПОВАТЫЙ,,
жужахI  гIазаб-гIакъуба,АД,,
жужахIалъул  кутакаб,АДСКИЙ,,
забастовка гьабизе,БАСТОВАТЬ,,
зазитIегь,АЛОЭ,,
зазтIегь,АЛОЭ,,
ижара,АРЕНДА,,
ижарадул,АРЕНДНЫЙ,,
ижарачи,АРЕНДАТОР,,
ижараялъ босизе,АРЕНДОВАТЬ,,
ижараялъе кьей,АРЕНДА,,
ижараялъул,АРЕНДНЫЙ,,
измур,БАЙКА,,
измур гIадаб,БАЙКОВЫЙ,,
измуралъулаб,БАЙКОВЫЙ,,
империализмалда данде чIараб,АНТИИМПЕРИАЛИСТИ ЧЕСКИЙ,,
ингилисав,АНГЛИЧАНИН,,
ингилисазулаб,АНГЛИЙСКИЙ,,
ингилисай,АНГЛИЧАНКА,,
ингилисал,АНГЛИЧАНЕ,,
ирга щвараблъун букIин,АКТУАЛЬНОСТЬ,,
искусствоялде машгъулав чи,АРТИСТ,,
историялда данде кколареб,АНТИИСТОРИЧЕСКИЙ,,
историялда данде чIараб,АНТИИСТОРИЧЕСКИЙ,,
историялда рекъолареб,АНТИИСТОРИЧЕСКИЙ,,
ихтилат гьабизе,БАЛАГУРИТЬ,,
ихтилатчи,БАЛАГУР,,
ицидул,АНТРАЦИТОВЫЙ,,
кагъатгIарац,АССИГНАЦИЯ,,
канчIбагIараб,АЛЫЙ,,
канчIбагIарлъизе  билбагIарлъун бихьизе,АЛЕТЬ,,
канчIбагIарлъун бихьизе,АЛЕТЬ,,
картIахараб,АЖУРНЫЙ,,
кваниде гъира,АППЕТИТ,,
кваниде хьул,АППЕТИТ,,
кваридасан хьвадулев чи,БАЛАНСЁР,,
квекIен,БАРЬЕР,,
квен,БАЛКА,,
квен бокьи,АППЕТИТ,,
кверхъахI,БАРИН,,
квешаб,АГРЕССИВНОСТЬ,,
кем-чем веццаризе,БАХВАЛИТЬСЯ,,
кем-чем хурхен лъугьине,АССОЦИИРОВАТЬСЯ,,
киназдаго лъалеб,БАНАЛЬНЫЙ,,
киналго тIаделъун,АВРАЛЬНЫЙ,,
кого ахх бачине,БАЮКАТЬ,,
кого гогьдаризавизе  баловаться,БАЛОВАТЬ,,
колониализмалда данде чIараб,АНТИКОЛОНИАЛЬНЫЙ,,
кому ассистентлъи гьабизе,АССИСТИРОВАТЬ,,
космонавт,АСТРОНАВТ,,
космонавтика,АСТРОНАВТИКА,,
коунизмалда данде чIараб,АНТИКОУНИСТИЧЕСКИЙ,,
кочIода яги кьурдиялда цадахъ музыка бачине,АККОМПАНИРОВАТЬ,,
кризисалда данде бугеб,АНТИКРИЗИСНЫЙ,,
кIалкIучI,БАБОЧКА,,
кIамури  гъапу,АРКА,,
кIвар бугеблъун,АКТУАЛЬНОСТЬ,,
кIибикьизабураб мегеж,БАКЕНБАРДЫ,,
кIодо,БАБКА,,
кIодо,БАБУШКА,,
кIолкIона,АЛЫЧА,,
кIолкIонадул,АЛЫЧОВЫЙ,,
кIоркIони,АЛЫЧА,,
кIоркIонидул,АЛЫЧОВЫЙ,,
кIотин,АНЕСТЕЗИЯ,,
кIотинабизе,АНЕСТЕЗИРОВАТЬ,,
кIудияб махщалида гьабулеб,АРТИСТИЧЕСКИЙ,,
кIудияв кашиш,АРХИЕПИСКОП,,
кIудияй эбел,БАБУШКА,,
куй,БАРАН,,
кумек гьабизе,АССИСТИРОВАТЬ,,
кьабана,БАЦ,,
кьагIрил,БАРАШКОВЫЙ,,
кьал  хъуй бугеб дагIба-рагIи,БАТАЛИЯ,,
кьвагьана,БАЦ,,
кьегIер,БАРАШЕК,,
кьочIое босизе,БАЗИРОВАТЬ,,
кьучI,БАЗА,,
кьучI  база,БАЗА,,
кьучIаб,БАЗОВЫЙ,,
кьучIаб,БАЗИСНЫЙ,,
кьучIаблъун гьаби,АРГУМЕНТАЦИЯ,,
кьучIлъун лъугьине,БАЗИРОВАТЬСЯ,,
къабихIаб,АМОРАЛЬНЫЙ,,
къадру,АВТОРИТЕТ,,
къадру бугев,АВТОРИТЕТНЫЙ,,
къадруяб,АВТОРИТЕТНЫЙ,,
къайи-къоно  гIала-гъважа,БАРАХЛО,,
къайидул тайпа,АРТИКУЛ,,
къали,БАРАБАН,,
къали бухизе,БАРАБАНИТЬ,,
къали кьабун,АУКЦИОННЫЙ,,
къали кьабун,АУКЦИОН,,
къаркъала сун,АНАТОМИРОВАТЬ,,
къасд ккезабулеб,АППЕТИТНЫЙ,,
къатIипа,БАРХАТ,,
къатIипа гIадаб,БАРХАТИСТЫЙ,,
къатIипадул,БАРХАТНЫЙ,,
къатIипадулаб,БАРХАТНЫЙ,,
къимат кьезе,АТТЕСТОВАТЬ,,
къимат кьей  аттестация,АТТЕСТАЦИЯ,,
къолол,БАРАБАННЫЙ,,
къололаб,БАРАБАННЫЙ,,
къолохъан,БАРАБАНЩИК,,
къотIун нахъе рехизе,АМПУТИРОВАТЬ,,
лазат гьечIолъи,БАНАЛЬНОСТЬ,,
лакълакъ,АИСТ,,
ламартаб иш,АФЁРА,,
ле,АУ,,
леледизе,АУКАТЬ,,
лоти,БАБНИК,,
лъадал рахъ,АРЫК,,
лъамамеседги металлги цадахъ биине,АМАЛЬГАМИРОВАТЬ,,
лъидехунниги- сундехунниги хитIаб гьабизе,АДРЕСОВАТЬСЯ,,
лъикIаблъун рикIкIине,АПРОБИРОВАТЬ,,
лъим бачараб рахъ,АРЫК,,
лъимер кьижизабизе,БАЮКАТЬ,,
лъимер тIами,АБОРТ,,
лъимер тIамизаби,АБОРТ,,
лъугIизе те,БАСТА,,
магIарул,АВАРСКИЙ,,
магIарулав,АВАРЕЦ,,
магIарулазул,АВАРСКИЙ,,
магIарулай,АВАРКА,,
магIарулал,АВАРЦЫ,,
магIданиял лъиназдалъун дару гьабиялъул,БАЛЬНЕОЛОГИЧЕСКИЙ,,
магIна гьечIеб,АБСУРДНЫЙ,,
магIна гьечIеб жо,АБСУРД,,
магIна гьечIеб рагIи,АХИНЕЯ,,
макру,АФЁРА,,
макручи,АФЕРИСТ,,
макручIужу,АФЕРИСТКА,,
малаик,АНГЕЛ,,
малаикасулаб,АНГЕЛЬСКИЙ,,
малъараб гьабунгутIизе,АРТАЧИТЬСЯ,,
манапис,АМНИСТИЯ,,
манапис лъазаби,АМНИСТИРОВАНИЕ,,
манапис лъазабизе,АМНИСТИРОВАТЬ,,
маргьа-къисабалъ букIунеб гIадаб гIорхъолъа борчIараб,БАСНОСЛОВНЫЙ,,
марксизмалда данде чIараб,АНТИМАРКСИСТСКИЙ,,
мас.: аэроклуб,АЭРО-,,
масхарачи,БАЛАГУР,,
масхараялда гаргадизе,БАЛАГУРИТЬ,,
материализмалда данде чIараб,АНТИМАТЕРИАЛИСТИЧЕСКИЙ,,
махмар,БАРХАТ,,
махраж бахъи,АРТИКУЛЯЦИЯ,,
махI берцинаб,АРОМАТИЧЕСКИЙ,,
махI гьуинаб,АРОМАТИЧЕСКИЙ,,
машина бачине ругьун гьарулеб бакI,АВТОШКОЛА,,
машинабазул база,АВТОБАЗА,,
машинабазул нухлулаб,АВТОДОРОЖНЫЙ,,
машинаби гьарулеб завод,АВТОЗАВОД,,
машинаби лъезе бихьизабураб бакI,АВТОСТОЯНКА,,
машинаби риччаялъул къецал,АВТОГОНКИ,,
машинаби хьвадулел нухазул,АВТОДОРОЖНЫЙ,,
машинадул покрышка,АВТОПОКРЫШКА,,
машинаялъе жагъаллъи ккей,АВТОАВАРИЯ,,
машинаялъе хIажалъулел тIагIелал тIолеб,АВТОЗАПЧАСТИ,,
